ubicacion;clase;subclase;nombre;cantidad;marca;modelo;estado;normativa;garantia;vencimientoGarantia;planMantencion;tipoEquipo;idConvenio;idInstitucion;eliminado
;APOYO INDUSTRIAL;EXTRACCION;AIRE ACONDICIONADOS (1) MODULOS ATENCION PRIMER PISO. (60.000 BTU);;KHONE;KE H60/5R1;BUENO;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;AIRE ACONDICIONADOS (2) MODULOS ATENCION PRIMER PISO. (60.000 BTU);;KHONE;KE H60/5R1;BUENO;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;AIRE ACONDICIONADOS (3) MODULOS ATENCION PRIMER PISO. (60.000 BTU);;KHONE;KE H60/5R1;BUENO;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;AIRE ACONDICIONADO OFICINA RECUPERACION DE INGRESO (9.000 BTU) ;;ANWO;GES9ECO-N-VP;BUENO;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;AIRE ACONDICIONADO OFICINA SDM (9.000 BTU);;ANWO;GES9ECO-N-VP;BUENO;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;AIRE ACONDICIONADO OFICINA DIRECTOR (12.000 BTU);;ANWO;GES12ECO-N-VP;BUENO;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;AIRE ACONDICIONADO SALA DE REUNIONES (12.000 BTU);;ANWO;GES12ECO-N-VP;BUENO;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;AIRE ACONDICIONADO SECADO Y PLANCHADO LAVANDERIA (18.000 BTU);;ANWO;GES18ECO-N-VP;BUENO;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;AIRE ACONDICIONADO  SALA DE AISLAMIENTO FRENTE A PABELLONES 1 (9.000 BTU);;ANWO;GES9ECO-N-VP;BUENO;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;AIRE ACONDICIONADO  SALA DE AISLAMIENTO FRENTE A PABELLONES 2 (9.000 BTU);;ANWO;GES9ECO-N-VP;BUENO;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;AIRE ACONDICIONADO SALA POST OPERADO 1 (9.000 BTU);;ANWO;GES9ECO-N-VP;BUENO;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;AIRE ACONDICIONADO SALA POST OPERADO 2 (9.000 BTU);;ANWO;GES9ECO-N-VP;BUENO;;;;;industrial;0;3;0
;APOYO INDUSTRIAL;EXTRACCION;AIRE ACONDICIONADO  COMEDOR CASINO;;MI IDEA;MOUA-60HN;BUENO;;;;;industrial;0;3;0
;ENERGIA;ELECTRICA;TRANSFORMADOR AEREO;;RHONA;500 KVA;REGULAR ;;;;;industrial;0;3;0
;MANEJO DE LIQUIDOS;ELEVACION DE AGUA POTABLE;BOMBA AGUA POTABLE N 1;;VOGT;HN627 FMS 215 DN;REGULAR ;;;;;industrial;0;3;0
;MANEJO DE LIQUIDOS;ELEVACION DE AGUA POTABLE;BOMBA AGUA POTABLE N 2;;VOGT;HN627 FMS 215 DN;REGULAR ;;;;;industrial;0;3;0
;MANEJO DE LIQUIDOS;ELEVACION DE AGUA POTABLE;BOMBA AGUA POTABLE N 3;;VOGT;HN627 FMS 215 DN;REGULAR ;;;;;industrial;0;3;0
;MANEJO DE LIQUIDOS;ELEVACION DE AGUA POTABLE;BOMBA AGUA POTABLE N 4;;VOGT;HN627 FMS 215 DN;REGULAR ;;;;;industrial;0;3;0
;MANEJO DE LIQUIDOS;ELEVACION DE AGUA POTABLE;HIDRO ESTANQUE N 1;;VAREM;MAXIVAREM LS;BUENO;;;;;industrial;0;3;0
;MANEJO DE LIQUIDOS;ELEVACION DE AGUA POTABLE;HIDRO ESTANQUE N 2;;VAREM;MAXIVAREM LS;BUENO;;;;;industrial;0;3;0
;MANEJO DE LIQUIDOS;ELEVACION DE AGUA POTABLE;HIDRO ESTANQUE N 3;;VOGT;HHV-1000/5;REGULAR ;;;;;industrial;0;3;0
;ENERGIA;CALORICA;CALDERA N1;;IVAR;SUPERAC 810;BUENO;;;;;industrial;0;3;0
;ENERGIA;CALORICA;CALDERA N2;;IVAR;SUPERAC 580;BUENO;;;;;industrial;0;3;0
;ENERGIA;CALORICA;CALDERA N3;;IVAR;SUPERAC 190;BUENO;;;;;industrial;0;3;0
;ENERGIA;CALORICA;BOMBA N 1 DE RECIRCULACION;;DAB;1D1321B43;REGULAR ;;;;;industrial;0;3;0
;ENERGIA;CALORICA;BOMBA N 2  DE RECIRCULACION;;DAB;1D1321B43;REGULAR ;;;;;industrial;0;3;0
;ENERGIA;CALORICA;BOMBA N 3 DE RECIRCULACION;;DAB;1D1321B43;REGULAR ;;;;;industrial;0;3;0
;ENERGIA;CALORICA;BOMBA N 4  DE RECIRCULACION;;DAB;1D1321B43;REGULAR ;;;;;industrial;0;3;0
