ubicacion;clase;subclase;nombre;cantidad;marca;modelo;estado;normativa;garantia;vencimientoGarantia;planMantencion;tipoEquipo;idConvenio;idInstitucion;eliminado
;MOVILIZACION;AMBULANCIA;EQUIPO DE RADIOCOMUNICACION MOVIL;EQUIPO RADIOCOMUNICACION MOVIL;HYTERA;PD786 G;BUENO;;0;;;industrial;0;1;0
;MOVILIZACION;AMBULANCIA;EQUIPO DE RADIOCOMUNICACION MOVIL;EQUIPO RADIOCOMUNICACION MOVIL;HYTERA;PD786 G;BUENO;;0;;;industrial;0;1;0
;MOVILIZACION;FURGON TRASLADO PACIENTES;EQUIPO DE RADIOCOMUNICACION MOVIL;EQUIPO RADIOCOMUNICACION MOVIL;HYTERA;PD786 G;BUENO;;0;;;industrial;0;1;0
;MOVILIZACION;VEHICULO TERRENO;EQUIPO DE RADIOCOMUNICACION MOVIL;EQUIPO RADIOCOMUNICACION MOVIL;HYTERA;PD786 G;BUENO;;0;;;industrial;0;1;0
;MOVILIZACION;AMBULANCIA;EQUIPO DE RADIOCOMUNICACION MOVIL;EQUIPO RADIOCOMUNICACION MOVIL;HYTERA;PD 786;BUENO;;0;;;industrial;0;1;0
;MOVILIZACION;AMBULANCIA;EQUIPO DE RADIOCOMUNICACION MOVIL;EQUIPO RADIOCOMUNICACION MOVIL;HYTERA;PD 786;BUENO;;0;;;industrial;0;1;0
;MOVILIZACION;AMBULANCIA;EQUIPO DE RADIOCOMUNICACION MOVIL;EQUIPO RADIOCOMUNICACION MOVIL;HYTERA;PD 786;BUENO;;0;;;industrial;0;1;0
;MOVILIZACION;AMBULANCIA;EQUIPO DE RADIOCOMUNICACION MOVIL;EQUIPO RADIOCOMUNICACION MOVIL;HYTERA;PD 786;BUENO;;0;;;industrial;0;1;0
;URGENCIAS;RADIOCOMUNICACION VHF;EQUIPO DE RADIOCOMUNICACION FIJO;EQUIPO RADIO VHF ESTATICA;HYTERA;PD 786;BUENO;;0;;;industrial;0;1;0
;OFICINA OPERACIONES;RADIOCOMUNICACION VHF;EQUIPO DE RADIOCOMUNICACION FIJO;EQUIPO RADIO VHF ESTATICA;HYTERA;PD 786;BUENO;;0;;;industrial;0;1;0
;OFICINA DE PARTES DIRECCION;RADIOCOMUNICACION VHF;EQUIPO DE RADIOCOMUNICACION FIJO;EQUIPO RADIO VHF ESTATICA;HYTERA;PD 786;BUENO;;0;;;industrial;0;1;0
;OFICINA DE PARTES DIRECCION;RADIOCOMUNICACION HF;EQUIPO DE RADIOCOMUNICACION FIJO;EQUIPO RADIO HF ESTATICA;VERTEX STANDART;VX - 700;BUENO;;0;;;industrial;0;1;0
;CENTRAL TERMICA ;ENERGIA;CALORICA;GENERADOR DE VAPOR  N 1;VALDIVIA;S/ DATOS;BUENO;;0;;;industrial;0;1;0
;CENTRAL TERMICA ;ENERGIA;CALORICA;GENERADOR DE VAPOR  N 2;VALDIVIA;S/ DATOS;BUENO;;0;;;industrial;0;1;0
;CENTRAL TERMICA ;APOYO INDUSTRIAL;ELEVACION DE FLUIDOS Y AGUA CALIENTE;MOTOR BOMBA DE CALEFACCION;DAB;KLP40/1200T;BUENO;;0;;;industrial;0;1;0
;CENTRAL TERMICA ;APOYO INDUSTRIAL;ELEVACION DE FLUIDOS Y AGUA CALIENTE;MOTOR BOMBA DE CALEFACCION;DAB;KLP40/1200T;BUENO;;0;;;industrial;0;1;0
;CENTRAL TERMICA ;ENERGIA;CALORICA;QUEMADORES DE PELLET 350 KW;PELLAX;S/N;BUENO;;0;;;industrial;0;1;0
;CENTRAL TERMICA ;APOYO INDUSTRIAL;ELEVACION DE FLUIDOS Y AGUA CALIENTE;MOTOR BOMBA DE CALEFACCION;DAB;KLP40/1200T;BUENO;;0;;;industrial;0;1;0
;CENTRAL TERMICA ;APOYO INDUSTRIAL;ELEVACION DE FLUIDOS Y AGUA CALIENTE;MOTOR BOMBA DE CALEFACCION;DAB;KLP40/1200T;BUENO;;0;;;industrial;0;1;0
;CENTRAL TERMICA ;APOYO INDUSTRIAL;ELEVACION DE FLUIDOS Y AGUA CALIENTE;CILINDRO DE AGUA CALIENTE;S/D;S/D;BUENO;;0;;;industrial;0;1;0
;CENTRAL TERMICA ;APOYO INDUSTRIAL;ELEVACION DE FLUIDOS Y AGUA CALIENTE;CILINDRO DE AGUA CALIENTE;S/D;S/D;BUENO;;0;;;industrial;0;1;0
;CENTRAL TERMICA ;APOYO INDUSTRIAL;ELEVACION DE FLUIDOS Y AGUA CALIENTE;CONVERTIDOR DE CALEFACCION;S/D;S/D;BUENO;;0;;;industrial;0;1;0
;CENTRAL TERMICA ;APOYO INDUSTRIAL;ELEVACION DE FLUIDOS Y AGUA CALIENTE;ESTANQUE DE CONDENSADO;S/D;S/D;BUENO;;0;;;industrial;0;1;0
